Variant,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Sex
Medium variant,2095,2170792.0,2205212.0,2232590.0,2249998.0,2257681.0,2252539.0,2230214.0,2183695.0,2120993.0,2034593.0,1941179.0,1829370.0,1700064.0,1531924.0,1305919.0,1039016.0000000001,786653.0,491803.0,197855.0,46112.0,4765.0,F
Medium variant,2100,2129827.0,2167266.0,2203244.0,2229843.0,2244901.0,2250682.0,2244524.0,2221093.0,2172251.0,2106483.0,2015426.0,1915672.0,1794484.0,1646879.0,1449204.0,1182565.0,864172.0,555254.0,256947.99999999997,64168.00000000001,7284.0,F
High variant,2020,1446930.0,1356955.0,1275213.0,1088192.0,924780.0,782145.0,662669.0,510020.0,414080.0,325490.0,254522.0,197398.0,153834.0,115063.0,91018.0,57678.0,28719.0,9465.0,1634.0,109.0,4.0,F
High variant,2025,1707566.0,1434871.0,1351967.0,1269709.0,1079579.0,913529.0,769899.0,649944.0,497843.0,402143.0,313633.0,242438.0,184537.0,138679.0,97173.0,68709.0,35512.0,12213.0,2130.0,149.0,5.0,F
High variant,2030,1945733.0,1696758.0,1430719.0,1347248.0,1261636.0,1069012.0,901969.0,757785.0,637017.0,485499.0,389193.0,300146.0,227832.0,167461.0,118194.0,74335.0,43181.0,15615.0,2906.0,212.0,7.0,F
High variant,2035,2140474.0,1936370.0,1692887.0,1426603.0,1340066.0,1251507.0,1057891.0,890178.0,744998.0,623338.0,471576.0,373972.0,283427.0,208078.0,144055.0,91690.0,47761.0,19694.0,3946.0,315.0,11.0,F
High variant,2040,2279152.0,2132495.0,1932806.0,1688844.0,1420037.0,1330815.0,1240530.0,1046148.9999999999,877217.0,730912.0,607328.0,454772.0,354751.0,260511.00000000003,180742.0,113466.0,60396.0,22712.0,5336.0,478.0,17.0,F
High variant,2045,2445471.0,2272308.0,2129197.0,1928850.0,1682180.0,1411367.0,1320556.0,1228581.0,1032777.0,862462.0,713995.0,587639.0,433313.0,328203.0,228608.0,144695.0,76756.0,30020.0,6616.0,718.0,29.0,F
High variant,2050,2630952.0,2439243.0,2269245.0,2125326.0,1922089.0,1673146.0,1401575.0,1309149.0,1214567.0,1017157.0,844383.0,692915.0,562286.0,403483.0,291002.0,186083.0,100584.0,39908.0,9405.0,989.0,47.0,F
High variant,2055,2830050.0,2625054.0,2436269.0,2265446.0,2118515.0,1912767.0,1662715.0,1390534.0,1295545.0,1197878.0,997732.0,821624.0,665572.0,526741.0,361246.0,240632.0,132749.0,54586.0,13398.0,1557.0,72.0,F
High variant,2060,3007972.0,2824286.0,2622086.0,2432469.0,2258673.0,2109010.0,1901847.0,1650767.0,1377222.0,1279179.0,1176911.0,973096.0,791916.0,626899.0,475811.0,303069.0,175815.0,74955.0,19542.0,2436.0,123.0,F
High variant,2065,3169085.0,3002240.0,2821283.0,2618245.0,2425631.0,2249189.0,2097840.0,1889268.0,1636238.0,1361156.0,1258565.0,1150257.0,940856.0,749647.0,570953.0,404580.0,226419.0,103028.0,28504.0,3883.0,211.0,F
High variant,2070,3307168.0,3163324.0,2999185.0,2817382.0,2611316.0,2416077.0,2238058.0,2084985.9999999998,1873921.0,1618663.0,1340932.0,1232343.0,1115270.0,894644.0,687811.0,491413.0,308471.0,137311.0,41456.0,6159.0,368.0,F
High variant,2075,3435273.0,3301380.0,3160217.0,2995211.0,2810351.0,2601681.0,2404917.0,2225308.0,2069309.0000000002,1855300.0,1596446.0,1315115.0,1197754.0,1064621.0,826128.0,598291.0,381434.0,192875.0,58145.0,9675.0,638.0,F
High variant,2080,3559828.0,3429487.0,3298249.0,3156232.0,2988125.0,2800635.0,2590487.0,2392206.0,2209793.0,2050297.0,1831762.0,1568053.0,1281038.0,1147428.0,988837.0,725576.0,472062.0,245319.0,85668.0,14597.0,1092.0,F
High variant,2085,3679067.0,3553993.0,3426350.0,3294257.0,3149153.0,2978390.0,2789404.0,2577807.0,2376768.0,2190988.0,2026209.0,1801636.0,1530508.0,1231151.0,1071386.0,876133.0,581138.0,311621.0,113938.0,23044.0,1796.0,F
High variant,2090,3784663.0,3673204.0,3550822.0,3422370.0,3287217.0,3139490.0,2967253.0,2776749.0,2562424.0,2358033.0,2167136.0,1995361.0,1761727.0,1475211.0,1155094.0,956885.0,711435.0,393013.0,150933.0,32732.999999999996,3071.0,F
High variant,2095,3875148.0,3778758.0,3670046.0,3546836.0,3415368.0,3277658.0,3128484.0,2954767.0,2761387.0,2543683.0,2334182.0,2136476.0,1954328.0,1702475.0,1389988.0,1039018.0,786654.0,491803.0,197855.0,46112.0,4765.0,F
High variant,2100,3959832.0,3869269.0,3775594.0,3666064.0,3539898.0,3405974.0,3266877.0,3116236.0,2939600.0,2742671.0,2519812.0,2303558.0,2095757.0,1893202.0,1610551.0,1258695.0,864172.0,555254.0,256947.99999999997,64168.00000000001,7284.0,F
