,District,Year,BCG,OPV3,HepB1,HepB3,DTP1,DTP3,DTPHepHib1,DTPHepHib3,MCV1,TT2+,PCV3,VitA_6_11months,VitA12_59months,Hib3,Pneumo1,Pneumo2,Pneumo3,Rotavirus1,Rotavirus2,PAB,MCV2,DTP2,OPV1,OPV2,MCV1_MR1,MCV2_MR2,HPV
58,Likoma,2012,1.06,0.85,0.94,0.92,0.85,0.85,0.0,0.0,0.86,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Mzimba,2012,0.83,0.8,0.94,0.92,0.78,0.78,0.0,0.0,0.76,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Nkhata Bay,2012,0.79,0.86,0.94,0.92,0.88,0.88,0.0,0.0,0.82,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Rumphi,2012,1.05,0.95,0.94,0.92,0.95,0.95,0.0,0.0,0.92,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Dowa,2012,0.85,0.81,0.95,0.92,0.81,0.81,0.0,0.0,0.82,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Kasungu,2012,0.95,0.85,0.95,0.92,0.88,0.88,0.0,0.0,0.82,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Nkhotakota,2012,1.02,0.93,0.95,0.92,0.92,0.92,0.0,0.0,0.91,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Ntchisi,2012,0.89,0.79,0.95,0.92,0.79,0.79,0.0,0.0,0.79,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Salima,2012,1.01,0.96,0.95,0.92,0.96,0.96,0.0,0.0,0.95,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Dedza,2012,1.08,0.99,0.95,0.92,0.95,0.95,0.0,0.0,0.9,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Lilongwe,2012,1.01,0.91,0.95,0.92,0.94,0.94,0.0,0.0,0.87,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Mchinji,2012,0.98,0.91,0.95,0.92,0.94,0.94,0.0,0.0,0.85,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Ntcheu,2012,1.03,1.01,0.95,0.92,1.0,1.0,0.0,0.0,0.94,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Balaka,2012,1.0,0.97,1.11,1.07,1.0,1.0,0.0,0.0,0.99,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
