,district,age_grp,sex,number
255,Blantyre City,30-34,M,33708.38576269831
256,Chitipa,35-39,M,5541.701686055669
257,Karonga,35-39,M,9073.690801801506
258,Nkhata Bay,35-39,M,6711.525503985163
259,Rumphi,35-39,M,5975.209830643085
260,Mzimba,35-39,M,22043.159162461816
261,Likoma,35-39,M,438.6315137330488
262,Mzuzu City,35-39,M,7467.829133374308
263,Kasungu,35-39,M,22406.97118937829
264,Nkhotakota,35-39,M,9796.449754119421
265,Ntchisi,35-39,M,8039.339910240358
266,Dowa,35-39,M,19937.653620582754
267,Salima,35-39,M,12007.566102779161
268,Lilongwe,35-39,M,42206.79208565307
269,Mchinji,35-39,M,15546.273565718366
270,Dedza,35-39,M,20671.36755639894
271,Ntcheu,35-39,M,17393.76627481777
272,Lilongwe City,35-39,M,36254.857324945064
273,Mangochi,35-39,M,26964.615087266273
274,Machinga,35-39,M,17209.983454757574
275,Zomba,35-39,M,19803.49458434442
276,Chiradzulu,35-39,M,9996.975562872154
277,Blantyre,35-39,M,12836.611923230352
278,Mwanza,35-39,M,3623.818784412252
279,Thyolo,35-39,M,19187.106153389814
280,Mulanje,35-39,M,18466.400073380333
281,Phalombe,35-39,M,10906.798840377227
282,Chikwawa,35-39,M,15423.312967960841
283,Nsanje,35-39,M,7280.93191116697
284,Balaka,35-39,M,10980.250591383256
285,Neno,35-39,M,3665.180127412485
286,Zomba City,35-39,M,3785.416272271052
287,Blantyre City,35-39,M,29104.45050133456
288,Chitipa,40-44,M,4662.800750871547
289,Karonga,40-44,M,7254.415313345825
290,Nkhata Bay,40-44,M,5493.250490900341
291,Rumphi,40-44,M,4703.480679522258
292,Mzimba,40-44,M,18369.299302051513
293,Likoma,40-44,M,334.54945962690164
294,Mzuzu City,40-44,M,5268.457283343578
295,Kasungu,40-44,M,17362.02402743688
296,Nkhotakota,40-44,M,7518.353770380866
297,Ntchisi,40-44,M,6363.297231832818
298,Dowa,40-44,M,16333.095011578253
299,Salima,40-44,M,8918.520932546735
300,Lilongwe,40-44,M,33773.49683527491
301,Mchinji,40-44,M,11975.311773935133
302,Dedza,40-44,M,16448.52834636947
303,Ntcheu,40-44,M,13051.014640513758
304,Lilongwe City,40-44,M,24584.189630634435
305,Mangochi,40-44,M,19021.553859400614
306,Machinga,40-44,M,12059.76976169303
307,Zomba,40-44,M,14206.159014575667
308,Chiradzulu,40-44,M,7362.939387740805
309,Blantyre,40-44,M,9832.865068037765
310,Mwanza,40-44,M,2605.9085140016346
311,Thyolo,40-44,M,15080.745202756647
312,Mulanje,40-44,M,13644.139951791167
313,Phalombe,40-44,M,7829.545833042264
314,Chikwawa,40-44,M,11293.627019713682
315,Nsanje,40-44,M,5463.938422558563
316,Balaka,40-44,M,8053.902340212465
317,Neno,40-44,M,2728.550043025215
318,Zomba City,40-44,M,2460.2010703436717
319,Blantyre City,40-44,M,20301.63003208941
320,Chitipa,45-49,M,3750.7888663286894
321,Karonga,45-49,M,5163.86552812387
322,Nkhata Bay,45-49,M,4167.293475855431
323,Rumphi,45-49,M,3558.5803343500856
324,Mzimba,45-49,M,13850.311061451801
325,Likoma,45-49,M,238.3974667859847
326,Mzuzu City,45-49,M,3176.3238728804367
327,Kasungu,45-49,M,12828.94766968028
328,Nkhotakota,45-49,M,5602.871473019281
329,Ntchisi,45-49,M,4616.442726977409
330,Dowa,45-49,M,12552.811722965846
331,Salima,45-49,M,6948.533406780865
332,Lilongwe,45-49,M,25958.053880627733
333,Mchinji,45-49,M,9324.807637326603
334,Dedza,45-49,M,12656.124152330127
335,Ntcheu,45-49,M,9310.669678051205
336,Lilongwe City,45-49,M,14706.187153170164
337,Mangochi,45-49,M,15440.646136942794
338,Machinga,45-49,M,9865.957094955658
339,Zomba,45-49,M,10514.411188069487
340,Chiradzulu,45-49,M,5487.733850788091
341,Blantyre,45-49,M,6931.276592349629
342,Mwanza,45-49,M,1849.5109393733437
343,Thyolo,45-49,M,11205.349343549711
344,Mulanje,45-49,M,9590.342884958056
345,Phalombe,45-49,M,5629.0978414250785
346,Chikwawa,45-49,M,8808.558344135836
347,Nsanje,45-49,M,4423.462489303669
348,Balaka,45-49,M,5964.403760216616
349,Neno,45-49,M,2009.1518970865784
350,Zomba City,45-49,M,1608.8387818651024
351,Blantyre City,45-49,M,12278.831695540472
352,Chitipa,50-54,M,2984.854699544965
353,Karonga,50-54,M,4043.5316441478462
354,Nkhata Bay,50-54,M,3593.6420835953227
355,Rumphi,50-54,M,2796.1327451006064
356,Mzimba,50-54,M,12212.420259225853
357,Likoma,50-54,M,177.4351208095271
