Variant,Period,Sex,Age_Grp,death_rate
WPP_Estimates,2015-2019,M,30-34,0.0054238264
WPP_Estimates,2015-2019,M,35-39,0.0074842761
WPP_Estimates,2015-2019,M,40-44,0.0094272995
WPP_Estimates,2015-2019,M,45-49,0.011972663
WPP_Estimates,2015-2019,M,50-54,0.016059682
WPP_Estimates,2015-2019,M,55-59,0.020922882
WPP_Estimates,2015-2019,M,60-64,0.029974883
WPP_Estimates,2015-2019,M,65-69,0.044358188
WPP_Estimates,2015-2019,M,70-74,0.067594789
WPP_Estimates,2015-2019,M,75-79,0.10572624
WPP_Estimates,2015-2019,M,80-84,0.17076497
WPP_Estimates,2015-2019,M,85-89,0.27572613
WPP_Estimates,2015-2019,M,90-94,0.43398584
WPP_Estimates,2015-2019,M,95-99,0.59467463
WPP_Medium,2020-2024,M,0-0,0.037848894
WPP_Medium,2020-2024,M,1-4,0.0031412894
WPP_Medium,2020-2024,M,5-9,0.0011646983
WPP_Medium,2020-2024,M,10-14,0.00092303722
WPP_Medium,2020-2024,M,15-19,0.0015779037
WPP_Medium,2020-2024,M,20-24,0.0024597218
WPP_Medium,2020-2024,M,25-29,0.0032986128
WPP_Medium,2020-2024,M,30-34,0.0044984241
WPP_Medium,2020-2024,M,35-39,0.0063497981
WPP_Medium,2020-2024,M,40-44,0.0082065475
WPP_Medium,2020-2024,M,45-49,0.010695742
WPP_Medium,2020-2024,M,50-54,0.014689621
WPP_Medium,2020-2024,M,55-59,0.019518567
WPP_Medium,2020-2024,M,60-64,0.02838761
WPP_Medium,2020-2024,M,65-69,0.042466667
WPP_Medium,2020-2024,M,70-74,0.065220735
WPP_Medium,2020-2024,M,75-79,0.10263857
WPP_Medium,2020-2024,M,80-84,0.1666458
WPP_Medium,2020-2024,M,85-89,0.27031713
WPP_Medium,2020-2024,M,90-94,0.42720393
WPP_Medium,2020-2024,M,95-99,0.58748166
WPP_Medium,2025-2029,M,0-0,0.030638971
WPP_Medium,2025-2029,M,1-4,0.0025995341
WPP_Medium,2025-2029,M,5-9,0.00097570792
WPP_Medium,2025-2029,M,10-14,0.0007662886
WPP_Medium,2025-2029,M,15-19,0.0013193248
WPP_Medium,2025-2029,M,20-24,0.0020652383
WPP_Medium,2025-2029,M,25-29,0.0027673888
WPP_Medium,2025-2029,M,30-34,0.0037999437
WPP_Medium,2025-2029,M,35-39,0.0054326867
WPP_Medium,2025-2029,M,40-44,0.0071692643
WPP_Medium,2025-2029,M,45-49,0.0095438099
WPP_Medium,2025-2029,M,50-54,0.013389734
WPP_Medium,2025-2029,M,55-59,0.018080029
WPP_Medium,2025-2029,M,60-64,0.026650321
WPP_Medium,2025-2029,M,65-69,0.040242613
WPP_Medium,2025-2029,M,70-74,0.0622233
WPP_Medium,2025-2029,M,75-79,0.098461457
WPP_Medium,2025-2029,M,80-84,0.16052998
WPP_Medium,2025-2029,M,85-89,0.26136558
WPP_Medium,2025-2029,M,90-94,0.41426729
WPP_Medium,2025-2029,M,95-99,0.57263341
WPP_Medium,2030-2034,M,0-0,0.024993405
WPP_Medium,2030-2034,M,1-4,0.0021531504
WPP_Medium,2030-2034,M,5-9,0.00082620793
WPP_Medium,2030-2034,M,10-14,0.00064822599
WPP_Medium,2030-2034,M,15-19,0.0011341261
WPP_Medium,2030-2034,M,20-24,0.0017831081
WPP_Medium,2030-2034,M,25-29,0.0023805852
WPP_Medium,2030-2034,M,30-34,0.0032800558
WPP_Medium,2030-2034,M,35-39,0.0047298034
WPP_Medium,2030-2034,M,40-44,0.0063495346
WPP_Medium,2030-2034,M,45-49,0.0086018312
WPP_Medium,2030-2034,M,50-54,0.012291507
WPP_Medium,2030-2034,M,55-59,0.016810389
WPP_Medium,2030-2034,M,60-64,0.025053312
WPP_Medium,2030-2034,M,65-69,0.038117959
WPP_Medium,2030-2034,M,70-74,0.05925075
WPP_Medium,2030-2034,M,75-79,0.094196694
WPP_Medium,2030-2034,M,80-84,0.15413399
WPP_Medium,2030-2034,M,85-89,0.25184688
WPP_Medium,2030-2034,M,90-94,0.40039667
WPP_Medium,2030-2034,M,95-99,0.55654739
WPP_Medium,2035-2039,M,0-0,0.020731997
WPP_Medium,2035-2039,M,1-4,0.0017968947
WPP_Medium,2035-2039,M,5-9,0.00071117841
WPP_Medium,2035-2039,M,10-14,0.00056194926
WPP_Medium,2035-2039,M,15-19,0.0010076759
WPP_Medium,2035-2039,M,20-24,0.0015925069
WPP_Medium,2035-2039,M,25-29,0.002114123
WPP_Medium,2035-2039,M,30-34,0.0029122062
WPP_Medium,2035-2039,M,35-39,0.0042127752
WPP_Medium,2035-2039,M,40-44,0.0057213447
WPP_Medium,2035-2039,M,45-49,0.0078465825
WPP_Medium,2035-2039,M,50-54,0.011373304
WPP_Medium,2035-2039,M,55-59,0.015694567
WPP_Medium,2035-2039,M,60-64,0.02358846
WPP_Medium,2035-2039,M,65-69,0.036098179
WPP_Medium,2035-2039,M,70-74,0.056331144
WPP_Medium,2035-2039,M,75-79,0.089900617
