Variant,Period,Age_Grp,asfr
WPP_High variant,2065-2069,35-39,0.052377
WPP_High variant,2070-2074,35-39,0.051578000000000006
WPP_High variant,2075-2079,35-39,0.051302
WPP_High variant,2080-2084,35-39,0.051552
WPP_High variant,2085-2089,35-39,0.052287
WPP_High variant,2090-2094,35-39,0.053488999999999995
WPP_High variant,2095-2099,35-39,0.055237
WPP_Estimates,1950-1954,40-44,0.11657200000000001
WPP_Estimates,1955-1959,40-44,0.117423
WPP_Estimates,1960-1964,40-44,0.119188
WPP_Estimates,1965-1969,40-44,0.12259300000000001
WPP_Estimates,1970-1974,40-44,0.125964
WPP_Estimates,1975-1979,40-44,0.129336
WPP_Estimates,1980-1984,40-44,0.129336
WPP_Estimates,1985-1989,40-44,0.123379
WPP_Estimates,1990-1994,40-44,0.112035
WPP_Estimates,1995-1999,40-44,0.09538200000000001
WPP_Estimates,2000-2004,40-44,0.09230500000000001
WPP_Estimates,2005-2009,40-44,0.08375
WPP_Estimates,2010-2014,40-44,0.061069000000000005
WPP_Estimates,2015-2019,40-44,0.047862
WPP_Low variant,2020-2024,40-44,0.03615
WPP_Low variant,2025-2029,40-44,0.028053
WPP_Low variant,2030-2034,40-44,0.022269999999999998
WPP_Low variant,2035-2039,40-44,0.018607
WPP_Low variant,2040-2044,40-44,0.015819
WPP_Low variant,2045-2049,40-44,0.013640000000000001
WPP_Low variant,2050-2054,40-44,0.011996
WPP_Low variant,2055-2059,40-44,0.010679000000000001
WPP_Low variant,2060-2064,40-44,0.009682
WPP_Low variant,2065-2069,40-44,0.008888
WPP_Low variant,2070-2074,40-44,0.008256
WPP_Low variant,2075-2079,40-44,0.007772
WPP_Low variant,2080-2084,40-44,0.007426
WPP_Low variant,2085-2089,40-44,0.0071849999999999995
WPP_Low variant,2090-2094,40-44,0.007043
WPP_Low variant,2095-2099,40-44,0.007011
WPP_Medium variant,2020-2024,40-44,0.038617
WPP_Medium variant,2025-2029,40-44,0.031541
WPP_Medium variant,2030-2034,40-44,0.026157
WPP_Medium variant,2035-2039,40-44,0.022109
WPP_Medium variant,2040-2044,40-44,0.019008
WPP_Medium variant,2045-2049,40-44,0.016579
WPP_Medium variant,2050-2054,40-44,0.014735
WPP_Medium variant,2055-2059,40-44,0.013263
WPP_Medium variant,2060-2064,40-44,0.012148999999999998
WPP_Medium variant,2065-2069,40-44,0.011271000000000002
WPP_Medium variant,2070-2074,40-44,0.010585
WPP_Medium variant,2075-2079,40-44,0.010073
WPP_Medium variant,2080-2084,40-44,0.009725
WPP_Medium variant,2085-2089,40-44,0.009504
WPP_Medium variant,2090-2094,40-44,0.009405
WPP_Medium variant,2095-2099,40-44,0.009439
WPP_High variant,2020-2024,40-44,0.041084
WPP_High variant,2025-2029,40-44,0.035028
WPP_High variant,2030-2034,40-44,0.030044
WPP_High variant,2035-2039,40-44,0.025611000000000002
WPP_High variant,2040-2044,40-44,0.022196999999999998
WPP_High variant,2045-2049,40-44,0.019518
WPP_High variant,2050-2054,40-44,0.017474
WPP_High variant,2055-2059,40-44,0.015847
WPP_High variant,2060-2064,40-44,0.014616
WPP_High variant,2065-2069,40-44,0.013654999999999999
WPP_High variant,2070-2074,40-44,0.012914
WPP_High variant,2075-2079,40-44,0.012374000000000001
WPP_High variant,2080-2084,40-44,0.012024
WPP_High variant,2085-2089,40-44,0.011823
WPP_High variant,2090-2094,40-44,0.011767
WPP_High variant,2095-2099,40-44,0.011867
WPP_Estimates,1950-1954,45-49,0.075007
WPP_Estimates,1955-1959,45-49,0.075554
WPP_Estimates,1960-1964,45-49,0.07669
WPP_Estimates,1965-1969,45-49,0.078881
WPP_Estimates,1970-1974,45-49,0.08105
WPP_Estimates,1975-1979,45-49,0.08321899999999999
WPP_Estimates,1980-1984,45-49,0.08321899999999999
WPP_Estimates,1985-1989,45-49,0.079387
WPP_Estimates,1990-1994,45-49,0.058475
WPP_Estimates,1995-1999,45-49,0.048174
WPP_Estimates,2000-2004,45-49,0.046619999999999995
WPP_Estimates,2005-2009,45-49,0.035389000000000004
WPP_Estimates,2010-2014,45-49,0.022106
WPP_Estimates,2015-2019,45-49,0.014704
WPP_Low variant,2020-2024,45-49,0.009495
WPP_Low variant,2025-2029,45-49,0.006346
WPP_Low variant,2030-2034,45-49,0.004372
WPP_Low variant,2035-2039,45-49,0.003193
WPP_Low variant,2040-2044,45-49,0.002391
WPP_Low variant,2045-2049,45-49,0.001829
WPP_Low variant,2050-2054,45-49,0.001436
WPP_Low variant,2055-2059,45-49,0.001149
WPP_Low variant,2060-2064,45-49,0.0009459999999999999
WPP_Low variant,2065-2069,45-49,0.000794
WPP_Low variant,2070-2074,45-49,0.0006770000000000001
WPP_Low variant,2075-2079,45-49,0.0005909999999999999
WPP_Low variant,2080-2084,45-49,0.000526
WPP_Low variant,2085-2089,45-49,0.00047999999999999996
WPP_Low variant,2090-2094,45-49,0.000447
WPP_Low variant,2095-2099,45-49,0.000424
WPP_Medium variant,2020-2024,45-49,0.010143000000000001
WPP_Medium variant,2025-2029,45-49,0.007134000000000001
WPP_Medium variant,2030-2034,45-49,0.005135
WPP_Medium variant,2035-2039,45-49,0.003794
WPP_Medium variant,2040-2044,45-49,0.002873
WPP_Medium variant,2045-2049,45-49,0.0022229999999999997
WPP_Medium variant,2050-2054,45-49,0.001764
WPP_Medium variant,2055-2059,45-49,0.001427
WPP_Medium variant,2060-2064,45-49,0.0011870000000000001
WPP_Medium variant,2065-2069,45-49,0.0010069999999999999
WPP_Medium variant,2070-2074,45-49,0.000868
WPP_Medium variant,2075-2079,45-49,0.000766
WPP_Medium variant,2080-2084,45-49,0.0006889999999999999
WPP_Medium variant,2085-2089,45-49,0.000635
WPP_Medium variant,2090-2094,45-49,0.000597
WPP_Medium variant,2095-2099,45-49,0.000571
WPP_High variant,2020-2024,45-49,0.010791
WPP_High variant,2025-2029,45-49,0.007923
WPP_High variant,2030-2034,45-49,0.005898
WPP_High variant,2035-2039,45-49,0.004395
WPP_High variant,2040-2044,45-49,0.003355
WPP_High variant,2045-2049,45-49,0.002617
WPP_High variant,2050-2054,45-49,0.002092
WPP_High variant,2055-2059,45-49,0.0017050000000000001
WPP_High variant,2060-2064,45-49,0.001428
WPP_High variant,2065-2069,45-49,0.00122
WPP_High variant,2070-2074,45-49,0.001059
WPP_High variant,2075-2079,45-49,0.000941
WPP_High variant,2080-2084,45-49,0.000852
WPP_High variant,2085-2089,45-49,0.00079
WPP_High variant,2090-2094,45-49,0.000747
WPP_High variant,2095-2099,45-49,0.000718
