Facility_ID,Officer_Type_Code,GenericClinic,CancerClinic,CardiometabolicClinic,ChronicRespiratoryClinic,NeurologicalMentalHealthClinic
45.0,Radiography,0.8,0.03,0.1,0.02,0.05
46.0,Clinical,0.8,0.03,0.1,0.02,0.05
46.0,DCSA,0.8,0.03,0.1,0.02,0.05
46.0,Dental,0.8,0.03,0.1,0.02,0.05
46.0,Laboratory,0.8,0.03,0.1,0.02,0.05
46.0,Mental,0.8,0.03,0.1,0.02,0.05
46.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
46.0,Nutrition,0.8,0.03,0.1,0.02,0.05
46.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
46.0,Radiography,0.8,0.03,0.1,0.02,0.05
47.0,Clinical,0.8,0.03,0.1,0.02,0.05
47.0,DCSA,0.8,0.03,0.1,0.02,0.05
47.0,Dental,0.8,0.03,0.1,0.02,0.05
47.0,Laboratory,0.8,0.03,0.1,0.02,0.05
47.0,Mental,0.8,0.03,0.1,0.02,0.05
47.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
47.0,Nutrition,0.8,0.03,0.1,0.02,0.05
47.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
47.0,Radiography,0.8,0.03,0.1,0.02,0.05
48.0,Clinical,0.8,0.03,0.1,0.02,0.05
48.0,DCSA,0.8,0.03,0.1,0.02,0.05
48.0,Dental,0.8,0.03,0.1,0.02,0.05
48.0,Laboratory,0.8,0.03,0.1,0.02,0.05
48.0,Mental,0.8,0.03,0.1,0.02,0.05
48.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
48.0,Nutrition,0.8,0.03,0.1,0.02,0.05
48.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
48.0,Radiography,0.8,0.03,0.1,0.02,0.05
49.0,Clinical,0.8,0.03,0.1,0.02,0.05
49.0,DCSA,0.8,0.03,0.1,0.02,0.05
49.0,Dental,0.8,0.03,0.1,0.02,0.05
49.0,Laboratory,0.8,0.03,0.1,0.02,0.05
49.0,Mental,0.8,0.03,0.1,0.02,0.05
49.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
49.0,Nutrition,0.8,0.03,0.1,0.02,0.05
49.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
49.0,Radiography,0.8,0.03,0.1,0.02,0.05
50.0,Clinical,0.8,0.03,0.1,0.02,0.05
50.0,DCSA,0.8,0.03,0.1,0.02,0.05
50.0,Dental,0.8,0.03,0.1,0.02,0.05
50.0,Laboratory,0.8,0.03,0.1,0.02,0.05
50.0,Mental,0.8,0.03,0.1,0.02,0.05
