District,Year,value,prior_label,prior_min,prior_max,prior_note,reference
Nkhata Bay,2016,0.612325135,local,0,1,vague prior,MAP 
Nkhata Bay,2017,0.588712974,local,0,1,vague prior,MAP 
Nkhata Bay,2018,0.65595052,local,0,1,vague prior,MAP 
Nkhotakota,2010,0.398525633,local,0,1,vague prior,MAP 
Nkhotakota,2011,0.367991132,local,0,1,vague prior,MAP 
Nkhotakota,2012,0.572883275,local,0,1,vague prior,MAP 
Nkhotakota,2013,0.744573123,local,0,1,vague prior,MAP 
Nkhotakota,2014,0.666086472,local,0,1,vague prior,MAP 
Nkhotakota,2015,0.585192667,local,0,1,vague prior,MAP 
Nkhotakota,2016,0.73105255,local,0,1,vague prior,MAP 
Nkhotakota,2017,0.615616106,local,0,1,vague prior,MAP 
Nkhotakota,2018,0.650145794,local,0,1,vague prior,MAP 
Nsanje,2010,0.434864765,local,0,1,vague prior,MAP 
Nsanje,2011,0.207987197,local,0,1,vague prior,MAP 
Nsanje,2012,0.341706921,local,0,1,vague prior,MAP 
Nsanje,2013,0.551004463,local,0,1,vague prior,MAP 
Nsanje,2014,0.403663495,local,0,1,vague prior,MAP 
Nsanje,2015,0.30422703,local,0,1,vague prior,MAP 
Nsanje,2016,0.550599015,local,0,1,vague prior,MAP 
Nsanje,2017,0.534342688,local,0,1,vague prior,MAP 
Nsanje,2018,0.607801295,local,0,1,vague prior,MAP 
Ntcheu,2010,0.472703029,local,0,1,vague prior,MAP 
Ntcheu,2011,0.259354141,local,0,1,vague prior,MAP 
Ntcheu,2012,0.498451184,local,0,1,vague prior,MAP 
Ntcheu,2013,0.746156226,local,0,1,vague prior,MAP 
Ntcheu,2014,0.593413657,local,0,1,vague prior,MAP 
Ntcheu,2015,0.411738799,local,0,1,vague prior,MAP 
Ntcheu,2016,0.606280877,local,0,1,vague prior,MAP 
Ntcheu,2017,0.546452289,local,0,1,vague prior,MAP 
Ntcheu,2018,0.605480779,local,0,1,vague prior,MAP 
Ntchisi,2010,0.290157201,local,0,1,vague prior,MAP 
Ntchisi,2011,0.246190415,local,0,1,vague prior,MAP 
Ntchisi,2012,0.417183935,local,0,1,vague prior,MAP 
Ntchisi,2013,0.587580081,local,0,1,vague prior,MAP 
Ntchisi,2014,0.488724118,local,0,1,vague prior,MAP 
Ntchisi,2015,0.403571944,local,0,1,vague prior,MAP 
Ntchisi,2016,0.579688136,local,0,1,vague prior,MAP 
Ntchisi,2017,0.454174604,local,0,1,vague prior,MAP 
Ntchisi,2018,0.493145221,local,0,1,vague prior,MAP 
Phalombe,2010,0.464213015,local,0,1,vague prior,MAP 
Phalombe,2011,0.257945615,local,0,1,vague prior,MAP 
Phalombe,2012,0.44251701,local,0,1,vague prior,MAP 
Phalombe,2013,0.655911833,local,0,1,vague prior,MAP 
Phalombe,2014,0.490563535,local,0,1,vague prior,MAP 
Phalombe,2015,0.373927385,local,0,1,vague prior,MAP 
Phalombe,2016,0.660633951,local,0,1,vague prior,MAP 
Phalombe,2017,0.688238071,local,0,1,vague prior,MAP 
Phalombe,2018,0.761216446,local,0,1,vague prior,MAP 
Rumphi,2010,0.23350826,local,0,1,vague prior,MAP 
Rumphi,2011,0.221173795,local,0,1,vague prior,MAP 
Rumphi,2012,0.442382072,local,0,1,vague prior,MAP 
Rumphi,2013,0.647515482,local,0,1,vague prior,MAP 
Rumphi,2014,0.497680454,local,0,1,vague prior,MAP 
Rumphi,2015,0.354453484,local,0,1,vague prior,MAP 
Rumphi,2016,0.56318207,local,0,1,vague prior,MAP 
Rumphi,2017,0.476390023,local,0,1,vague prior,MAP 
Rumphi,2018,0.52330207,local,0,1,vague prior,MAP 
Salima,2010,0.431516854,local,0,1,vague prior,MAP 
Salima,2011,0.341393753,local,0,1,vague prior,MAP 
Salima,2012,0.61172064,local,0,1,vague prior,MAP 
Salima,2013,0.812768012,local,0,1,vague prior,MAP 
Salima,2014,0.648068286,local,0,1,vague prior,MAP 
Salima,2015,0.424670177,local,0,1,vague prior,MAP 
Salima,2016,0.586592366,local,0,1,vague prior,MAP 
Salima,2017,0.500394323,local,0,1,vague prior,MAP 
Salima,2018,0.553258753,local,0,1,vague prior,MAP 
Thyolo,2010,0.44820314,local,0,1,vague prior,MAP 
Thyolo,2011,0.211595626,local,0,1,vague prior,MAP 
Thyolo,2012,0.350933045,local,0,1,vague prior,MAP 
Thyolo,2013,0.539435827,local,0,1,vague prior,MAP 
Thyolo,2014,0.385144823,local,0,1,vague prior,MAP 
Thyolo,2015,0.279377813,local,0,1,vague prior,MAP 
Thyolo,2016,0.51612418,local,0,1,vague prior,MAP 
Thyolo,2017,0.485511027,local,0,1,vague prior,MAP 
Thyolo,2018,0.556589952,local,0,1,vague prior,MAP 
Zomba,2010,0.492925578,local,0,1,vague prior,MAP 
Zomba,2011,0.249781677,local,0,1,vague prior,MAP 
Zomba,2012,0.442017773,local,0,1,vague prior,MAP 
Zomba,2013,0.685267736,local,0,1,vague prior,MAP 
Zomba,2014,0.549356008,local,0,1,vague prior,MAP 
Zomba,2015,0.423388713,local,0,1,vague prior,MAP 
Zomba,2016,0.657868142,local,0,1,vague prior,MAP 
Zomba,2017,0.624095695,local,0,1,vague prior,MAP 
Zomba,2018,0.686783304,local,0,1,vague prior,MAP 
Zomba City,2010,0.492925578,local,0,1,vague prior,MAP 
Zomba City,2011,0.249781677,local,0,1,vague prior,MAP 
Zomba City,2012,0.442017773,local,0,1,vague prior,MAP 
Zomba City,2013,0.685267736,local,0,1,vague prior,MAP 
Zomba City,2014,0.549356008,local,0,1,vague prior,MAP 
Zomba City,2015,0.423388713,local,0,1,vague prior,MAP 
Zomba City,2016,0.657868142,local,0,1,vague prior,MAP 
Zomba City,2017,0.624095695,local,0,1,vague prior,MAP 
Zomba City,2018,0.686783304,local,0,1,vague prior,MAP 
