Module,Event,Treatment,Facility level,Appointment footprint,Bed days footprint
Tb,HSI_Tb_EndOfLifeCare,Tb_PalliativeCare,2,,general_bed (7.5 days)
Tb,HSI_Tb_Start_or_Continue_Ipt,Tb_Prevention_Ipt,1a,Over5OPD,
Tb,HSI_Tb_ClinicalDiagnosis,Tb_Test_Clinical,1a,Under5OPD,
Tb,HSI_Tb_Culture,Tb_Test_Culture,1b,LabTBMicro,
Tb,HSI_Tb_FollowUp,Tb_Test_FollowUp,1a,TBFollowUp,
Tb,HSI_Tb_ScreeningAndRefer,Tb_Test_Screening,1a,Over5OPD,
Tb,HSI_Tb_Xray_level1b,Tb_Test_Xray,1b,DiagRadio,
Tb,HSI_Tb_Xray_level2,Tb_Test_Xray,2,DiagRadio,
Tb,HSI_Tb_StartTreatment,Tb_Treatment,1a,TBNew,
Wasting,HSI_Wasting_InpatientTherapeuticCare_ComplicatedSAM,Undernutrition_Feeding_Inpatient,2,U5Malnutr,general_bed (7 days)
Wasting,HSI_Wasting_OutpatientTherapeuticProgramme_SAM,Undernutrition_Feeding_Outpatient,1a,U5Malnutr,
Wasting,HSI_Wasting_SupplementaryFeedingProgramme_MAM,Undernutrition_Feeding_Supplementary,1a,Under5OPD,
Wasting,HSI_Wasting_GrowthMonitoring,Undernutrition_GrowthMonitoring,1a,Under5OPD,
