Year,Sex,Age_Grp,Variant,Count
1995,M,35-39,GBD_Est,4071.544388094946
1995,M,40-44,GBD_Est,3919.5787260659768
1995,M,45-49,GBD_Est,3629.86162580869
1995,M,5-9,GBD_Est,1883.2590672764827
1995,M,50-54,GBD_Est,3423.5488070728798
1995,M,55-59,GBD_Est,3220.489796045227
1995,M,60-64,GBD_Est,3626.414230625492
1995,M,65-69,GBD_Est,3899.351688627203
1995,M,70-74,GBD_Est,3801.3466015473045
1995,M,75-79,GBD_Est,2819.9575157552467
1995,M,80-84,GBD_Est,1697.2787044444979
1995,M,85-89,GBD_Est,770.6042922218627
1995,M,90-94,GBD_Est,290.855029680865
1996,F,0-4,GBD_Est,41202.12392902274
1996,F,10-14,GBD_Est,751.4824400369827
1996,F,15-19,GBD_Est,1689.9075098941373
1996,F,20-24,GBD_Est,3836.4863850518022
1996,F,25-29,GBD_Est,5165.117487881804
1996,F,30-34,GBD_Est,5166.616734959903
1996,F,35-39,GBD_Est,4071.9037638761124
1996,F,40-44,GBD_Est,3440.455641726194
1996,F,45-49,GBD_Est,3271.4278614084674
1996,F,5-9,GBD_Est,1655.4330520935764
1996,F,50-54,GBD_Est,3009.3363364786132
1996,F,55-59,GBD_Est,2515.3913585868263
1996,F,60-64,GBD_Est,2677.1563469675393
1996,F,65-69,GBD_Est,3010.7445124383626
1996,F,70-74,GBD_Est,3405.691669663369
1996,F,75-79,GBD_Est,2897.787419454595
1996,F,80-84,GBD_Est,1968.6849797092339
1996,F,85-89,GBD_Est,965.4559892473801
1996,F,90-94,GBD_Est,377.3339087604054
1996,M,0-4,GBD_Est,46572.07925995148
1996,M,10-14,GBD_Est,1030.8253303687065
1996,M,15-19,GBD_Est,1333.788483717368
1996,M,20-24,GBD_Est,1726.5303873114926
1996,M,25-29,GBD_Est,2863.0128247655407
1996,M,30-34,GBD_Est,4012.289618957792
1996,M,35-39,GBD_Est,4501.366414536522
1996,M,40-44,GBD_Est,4316.798616485304
1996,M,45-49,GBD_Est,3976.406027319141
1996,M,5-9,GBD_Est,1921.3127881940195
1996,M,50-54,GBD_Est,3703.769618202341
1996,M,55-59,GBD_Est,3405.929824239365
1996,M,60-64,GBD_Est,3741.3364482235665
1996,M,65-69,GBD_Est,4020.673249955145
1996,M,70-74,GBD_Est,3872.4623425937443
1996,M,75-79,GBD_Est,2938.098198154417
1996,M,80-84,GBD_Est,1739.8847559981862
1996,M,85-89,GBD_Est,782.9995341371297
1996,M,90-94,GBD_Est,294.2859251922896
1997,F,0-4,GBD_Est,40161.6687086738
1997,F,10-14,GBD_Est,767.7592277014832
1997,F,15-19,GBD_Est,1680.602964125855
1997,F,20-24,GBD_Est,4109.6405260712845
1997,F,25-29,GBD_Est,5723.0744455467475
1997,F,30-34,GBD_Est,5666.983332379127
1997,F,35-39,GBD_Est,4539.392607292013
1997,F,40-44,GBD_Est,3744.355255654545
1997,F,45-49,GBD_Est,3499.8544391721716
1997,F,5-9,GBD_Est,1675.536460091706
1997,F,50-54,GBD_Est,3209.9191842463215
1997,F,55-59,GBD_Est,2618.41183004836
1997,F,60-64,GBD_Est,2702.1991550348284
1997,F,65-69,GBD_Est,3009.2467548530644
1997,F,70-74,GBD_Est,3426.51253734511
1997,F,75-79,GBD_Est,3008.354258072037
1997,F,80-84,GBD_Est,2024.3594905176697
1997,F,85-89,GBD_Est,1042.3459631338399
1997,F,90-94,GBD_Est,390.53144692353936
1997,M,0-4,GBD_Est,45544.23079146113
1997,M,10-14,GBD_Est,1064.3937330747729
1997,M,15-19,GBD_Est,1387.3039930832642
1997,M,20-24,GBD_Est,1838.705195824839
1997,M,25-29,GBD_Est,3054.7014653605424
1997,M,30-34,GBD_Est,4338.396538706333
1997,M,35-39,GBD_Est,4918.739007205535
1997,M,40-44,GBD_Est,4709.935643572374
1997,M,45-49,GBD_Est,4289.483219651884
1997,M,5-9,GBD_Est,1942.2393011331737
1997,M,50-54,GBD_Est,3976.530321762406
1997,M,55-59,GBD_Est,3584.3890530960857
1997,M,60-64,GBD_Est,3834.896263840832
1997,M,65-69,GBD_Est,4135.03627037977
1997,M,70-74,GBD_Est,3915.517983804958
1997,M,75-79,GBD_Est,3039.200070791277
1997,M,80-84,GBD_Est,1769.9843392852981
1997,M,85-89,GBD_Est,805.694738242468
1997,M,90-94,GBD_Est,292.72141697581435
1998,F,0-4,GBD_Est,39373.52266649708
1998,F,10-14,GBD_Est,796.6702130936801
1998,F,15-19,GBD_Est,1664.4201050057395
1998,F,20-24,GBD_Est,4319.4169618947335
1998,F,25-29,GBD_Est,6279.415891114595
1998,F,30-34,GBD_Est,6101.6722317308695
1998,F,35-39,GBD_Est,5021.181289997794
1998,F,40-44,GBD_Est,4041.6810090781896
1998,F,45-49,GBD_Est,3752.3437569249777
1998,F,5-9,GBD_Est,1714.2569692459335
1998,F,50-54,GBD_Est,3384.1420837006413
1998,F,55-59,GBD_Est,2719.1290026620113
1998,F,60-64,GBD_Est,2732.3589376091654
1998,F,65-69,GBD_Est,2998.842429876308
1998,F,70-74,GBD_Est,3499.142463873724
1998,F,75-79,GBD_Est,3108.0270711528137
1998,F,80-84,GBD_Est,2120.737449779906
1998,F,85-89,GBD_Est,1098.5607133490116
1998,F,90-94,GBD_Est,411.49473131529686
1998,M,0-4,GBD_Est,44774.83758358419
1998,M,10-14,GBD_Est,1111.3968626994624
1998,M,15-19,GBD_Est,1444.1472098792844
1998,M,20-24,GBD_Est,1960.195755003613
1998,M,25-29,GBD_Est,3227.0051104527706
1998,M,30-34,GBD_Est,4614.115650751599
1998,M,35-39,GBD_Est,5296.6390205972
1998,M,40-44,GBD_Est,5081.128828874877
1998,M,45-49,GBD_Est,4609.155344932568
1998,M,5-9,GBD_Est,1986.9803270261398
1998,M,50-54,GBD_Est,4234.4702849025925
1998,M,55-59,GBD_Est,3777.0242952992176
1998,M,60-64,GBD_Est,3918.339403671361
1998,M,65-69,GBD_Est,4244.973994985292
1998,M,70-74,GBD_Est,3994.499125930766
1998,M,75-79,GBD_Est,3108.4738251443655
1998,M,80-84,GBD_Est,1824.1162340130536
1998,M,85-89,GBD_Est,818.1763350051369
1998,M,90-94,GBD_Est,292.4857991966168
1999,F,0-4,GBD_Est,38671.96565474773
1999,F,10-14,GBD_Est,819.0176330878796
1999,F,15-19,GBD_Est,1625.4432011658066
1999,F,20-24,GBD_Est,4404.680786769841
1999,F,25-29,GBD_Est,6725.757936190173
1999,F,30-34,GBD_Est,6464.207781843809
1999,F,35-39,GBD_Est,5444.954756417757
1999,F,40-44,GBD_Est,4277.900235989936
1999,F,45-49,GBD_Est,3898.3125735918698
1999,F,5-9,GBD_Est,1742.1090595334647
1999,F,50-54,GBD_Est,3518.1932716422716
1999,F,55-59,GBD_Est,2800.303028441721
1999,F,60-64,GBD_Est,2729.4298749920295
1999,F,65-69,GBD_Est,2965.3437125817263
1999,F,70-74,GBD_Est,3466.4913864933396
1999,F,75-79,GBD_Est,3158.4684699388285
1999,F,80-84,GBD_Est,2206.536569601088
1999,F,85-89,GBD_Est,1140.3486759173545
