al yearly usage of TBNotifiedAll (.csv)
=======================================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/healthsystem/real_appt_usage_data/real_yearly_usage_of_TBNotifiedAll.csv>`

====  ======  ==============  ============  =======
  ..    Year    Facility\_ID  Appt\_Type      Usage
====  ======  ==============  ============  =======
 664    2018              39  TBNew             165
 665    2018              41  TBNew               5
 666    2018              42  TBNew               7
 667    2018              45  TBNew            1115
 668    2018              46  TBNew            1276
 669    2018              47  TBNew            1179
 670    2018              53  TBNew              39
 671    2018              55  TBNew              99
 672    2018              57  TBNew             131
 673    2018              58  TBNew             110
 674    2018              59  TBNew             324
 675    2018              61  TBNew              55
 676    2018              62  TBNew              99
 677    2018              63  TBNew             122
 678    2018              65  TBNew             326
 679    2018              66  TBNew             110
 680    2018              67  TBNew              69
 681    2018              69  TBNew              74
 682    2018              71  TBNew             237
 683    2018              73  TBNew             184
 684    2018              74  TBNew             271
 685    2018              75  TBNew             126
 686    2018              81  TBNew             106
 687    2018              83  TBNew              57
 688    2018              85  TBNew              31
 689    2018              86  TBNew              38
 690    2018              87  TBNew              99
 691    2018              89  TBNew              76
 692    2018              90  TBNew              26
 693    2018              91  TBNew             114
 694    2018              93  TBNew             247
 695    2018              94  TBNew             121
 696    2018              95  TBNew             499
 697    2018              97  TBNew              92
 698    2018              98  TBNew              12
 699    2018              99  TBNew             173
 700    2018             101  TBNew              31
 701    2018             103  TBNew              76
 702    2018             104  TBNew               0
 703    2018             105  TBNew             121
 704    2018             106  TBNew              79
 705    2018             109  TBNew              10
 706    2018             110  TBNew              49
 707    2018             111  TBNew              70
 708    2018             113  TBNew             115
 709    2018             115  TBNew             248
 710    2018             116  TBNew               0
 711    2018             117  TBNew             156
 712    2018             118  TBNew             131
 713    2018             119  TBNew             204
 714    2018             121  TBNew             154
 715    2018             122  TBNew             130
 716    2018             128  TBNew            1793
 717    2018             129  TBNew             266
 718    2018             130  TBNew             181
 719    2018             131  TBNew               0
 720    2019               1  TBNew             234
 721    2019               3  TBNew              40
 722    2019               5  TBNew            1252
 723    2019               6  TBNew             223
 724    2019              13  TBNew             236
 725    2019              14  TBNew             207
 726    2019              15  TBNew             294
 727    2019              17  TBNew             108
 728    2019              18  TBNew             318
 729    2019              19  TBNew             223
 730    2019              21  TBNew              80
 731    2019              22  TBNew               0
 732    2019              23  TBNew              95
 733    2019              25  TBNew             121
 734    2019              26  TBNew              61
 735    2019              27  TBNew             194
 736    2019              29  TBNew              68
 737    2019              30  TBNew             159
 738    2019              31  TBNew             115
 739    2019              33  TBNew              75
 740    2019              34  TBNew              58
 741    2019              35  TBNew             171
 742    2019              37  TBNew              88
 743    2019              38  TBNew              36
 744    2019              39  TBNew             224
 745    2019              41  TBNew               3
 746    2019              42  TBNew              11
 747    2019              45  TBNew            1043
 748    2019              46  TBNew            1050
 749    2019              47  TBNew             817
 750    2019              53  TBNew              73
 751    2019              55  TBNew             148
 752    2019              57  TBNew             224
 753    2019              58  TBNew             168
 754    2019              59  TBNew             480
 755    2019              61  TBNew              69
 756    2019              62  TBNew             146
 757    2019              63  TBNew             217
 758    2019              65  TBNew             404
 759    2019              66  TBNew             122
 760    2019              67  TBNew              72
 761    2019              69  TBNew              41
 762    2019              71  TBNew             222
 763    2019              73  TBNew             162
 764    2019              74  TBNew             220
 765    2019              75  TBNew             132
 766    2019              81  TBNew             137
 767    2019              83  TBNew              40
 768    2019              85  TBNew              65
 769    2019              86  TBNew              24
 770    2019              87  TBNew              68
 771    2019              89  TBNew              74
 772    2019              90  TBNew              34
 773    2019              91  TBNew              83
 774    2019              93  TBNew             469
 775    2019              94  TBNew              77
 776    2019              95  TBNew             434
 777    2019              97  TBNew             139
 778    2019              98  TBNew               7
 779    2019              99  TBNew             200
 780    2019             101  TBNew              30
 781    2019             103  TBNew              80
 782    2019             104  TBNew               0
 783    2019             105  TBNew              93
 784    2019             106  TBNew             157
 785    2019             109  TBNew              18
 786    2019             110  TBNew              29
 787    2019             111  TBNew              92
 788    2019             113  TBNew             122
 789    2019             115  TBNew             301
 790    2019             116  TBNew               0
 791    2019             117  TBNew             216
 792    2019             118  TBNew             204
 793    2019             119  TBNew             232
 794    2019             121  TBNew             277
 795    2019             122  TBNew             118
 796    2019             128  TBNew            1528
 797    2019             129  TBNew             372
 798    2019             130  TBNew             172
 799    2019             131  TBNew               0
 800    2020               1  TBNew             234
 801    2020               3  TBNew              45
 802    2020               5  TBNew             972
 803    2020               6  TBNew             189
 804    2020              13  TBNew             350
 805    2020              14  TBNew             280
 806    2020              15  TBNew             304
 807    2020              17  TBNew              94
 808    2020              18  TBNew             139
 809    2020              19  TBNew             150
 810    2020              21  TBNew              53
 811    2020              22  TBNew               5
 812    2020              23  TBNew             113
 813    2020              25  TBNew             150
 814    2020              26  TBNew              78
 815    2020              27  TBNew             181
 816    2020              29  TBNew              73
 817    2020              30  TBNew              94
 818    2020              31  TBNew              91
 819    2020              33  TBNew              50
 820    2020              34  TBNew              70
 821    2020              35  TBNew             141
 822    2020              37  TBNew             100
 823    2020              38  TBNew              34
 824    2020              39  TBNew             256
 825    2020              41  TBNew               0
 826    2020              42  TBNew              14
 827    2020              45  TBNew             967
 828    2020              46  TBNew            1097
 829    2020              47  TBNew             904
 830    2020              53  TBNew              24
 831    2020              55  TBNew               0
 832    2020              57  TBNew              89
 833    2020              58  TBNew              68
 834    2020              59  TBNew             439
 835    2020              61  TBNew             128
 836    2020              62  TBNew             255
 837    2020              63  TBNew             173
 838    2020              65  TBNew             377
 839    2020              66  TBNew             192
 840    2020              67  TBNew              73
 841    2020              69  TBNew             114
 842    2020              71  TBNew             346
 843    2020              73  TBNew             130
 844    2020              74  TBNew             111
 845    2020              75  TBNew              79
 846    2020              81  TBNew             104
 847    2020              83  TBNew              46
 848    2020              85  TBNew              45
 849    2020              86  TBNew              29
 850    2020              87  TBNew              63
 851    2020              89  TBNew              80
 852    2020              90  TBNew              23
 853    2020              91  TBNew             106
 854    2020              93  TBNew             249
 855    2020              94  TBNew              91
 856    2020              95  TBNew             201
 857    2020              97  TBNew             110
 858    2020              98  TBNew               6
 859    2020              99  TBNew             155
 860    2020             101  TBNew              44
 861    2020             103  TBNew              42
 862    2020             104  TBNew               0
 863    2020             105  TBNew              92
 864    2020             106  TBNew             142
 865    2020             109  TBNew              12
 866    2020             110  TBNew              34
 867    2020             111  TBNew              59
 868    2020             113  TBNew              81
 869    2020             115  TBNew             332
 870    2020             116  TBNew               0
 871    2020             117  TBNew             238
 872    2020             118  TBNew             105
 873    2020             119  TBNew             172
 874    2020             121  TBNew             223
 875    2020             122  TBNew              84
 876    2020             128  TBNew            1238
 877    2020             129  TBNew             356
 878    2020             130  TBNew              77
 879    2020             131  TBNew               0
 880    2021               1  TBNew             272
 881    2021               3  TBNew              59
 882    2021               5  TBNew             795
 883    2021               6  TBNew             149
 884    2021              13  TBNew             241
 885    2021              14  TBNew             241
 886    2021              15  TBNew             178
